,Average and Extremes,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
0,Jan 1 ,28.5,83.0,23.9,29.7,3.0,5.0, 76° (ENE), 0.09 in., 0.37 in., 0.01 in. on day 01 at time 12:49, 36.1°F on day 01 at time 12:51, 23.5°F on day 01 at time 22:31, 94% on day 01 at time 00:00, 64% on day 01 at time 12:41, 29.747 in. on day 01 at time 20:01, 29.612 in. on day 01 at time 01:09, 12.7 mph on day 01 at time 14:58, 16.1 mph  from 029 °(NNE) on day 01 at time 14:08, 36.1°F on day 01 at time 12:51
1,Jan 2 ,20.4,92.0,18.5,29.7,2.1,3.4, 68° (ENE), 0.09 in., 0.37 in., 0.00 in. on day 02 at time 23:59, 23.8°F on day 02 at time 01:35, 17.3°F on day 02 at time 23:56, 94% on day 02 at time 01:04, 90% on day 02 at time 23:59, 29.806 in. on day 02 at time 23:57, 29.654 in. on day 02 at time 08:24, 5.8 mph on day 02 at time 23:31, 10.4 mph  from 081 °( E ) on day 02 at time 23:42, 23.8°F on day 02 at time 01:35
2,Jan 3 ,21.8,68.0,12.1,29.8,6.1,9.2, 267° ( W ), 0.15 in., 0.43 in., 0.01 in. on day 03 at time 11:51, 31.2°F on day 03 at time 11:44, 11.3°F on day 03 at time 07:53, 91% on day 03 at time 08:08, 48% on day 03 at time 23:57, 29.871 in. on day 03 at time 23:49, 29.772 in. on day 03 at time 11:15, 18.4 mph on day 03 at time 20:23, 28.8 mph  from 267 °( W ) on day 03 at time 20:22, 31.2°F on day 03 at time 11:44
3,Jan 4 ,23.1,46.0,5.4,30.0,16.0,23.5, 258° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 04 at time 23:59, 27.2°F on day 04 at time 14:06, 19.8°F on day 04 at time 07:34, 53% on day 04 at time 11:47, 34% on day 04 at time 14:18, 30.175 in. on day 04 at time 23:14, 29.831 in. on day 04 at time 06:30, 28.8 mph on day 04 at time 11:48, 41.4 mph  from 172 °( S ) on day 04 at time 15:50, 27.2°F on day 04 at time 14:06
4,Jan 5 ,33.3,39.0,10.7,30.0,10.7,15.0, 248° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 05 at time 23:59, 41.4°F on day 05 at time 13:42, 19.5°F on day 05 at time 05:55, 57% on day 05 at time 09:29, 27% on day 05 at time 23:00, 30.163 in. on day 05 at time 00:03, 29.830 in. on day 05 at time 22:43, 21.9 mph on day 05 at time 19:28, 31.1 mph  from 267 °( W ) on day 05 at time 20:49, 41.4°F on day 05 at time 13:42
5,Jan 6 ,34.2,50.0,17.4,29.8,6.2,9.2, 249° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 06 at time 23:59, 38.8°F on day 06 at time 13:21, 29.0°F on day 06 at time 05:28, 65% on day 06 at time 16:15, 29% on day 06 at time 00:27, 30.028 in. on day 06 at time 23:47, 29.740 in. on day 06 at time 07:00, 19.6 mph on day 05 at time 00:44, 27.6 mph  from 225 °( SW) on day 06 at time 01:12, 38.8°F on day 06 at time 13:21
6,Jan 7 ,32.3,46.0,13.9,30.1,9.1,13.5, 251° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 07 at time 23:59, 37.3°F on day 07 at time 12:42, 29.9°F on day 07 at time 07:55, 56% on day 07 at time 04:44, 32% on day 07 at time 23:23, 30.150 in. on day 07 at time 19:15, 30.025 in. on day 07 at time 00:17, 19.6 mph on day 07 at time 15:44, 31.1 mph  from 248 °(WSW) on day 07 at time 15:44, 37.3°F on day 07 at time 12:42
7,Jan 8 ,35.4,31.0,7.3,30.0,11.4,16.0, 254° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 08 at time 23:59, 42.2°F on day 08 at time 14:35, 28.2°F on day 08 at time 04:22, 43% on day 08 at time 23:57, 21% on day 08 at time 03:12, 30.130 in. on day 08 at time 00:01, 29.896 in. on day 08 at time 20:48, 25.3 mph on day 08 at time 20:55, 34.5 mph  from 243 °(WSW) on day 08 at time 17:03, 42.2°F on day 08 at time 14:35
8,Jan 9 ,36.0,47.0,17.8,29.8,14.7,21.3, 257° (WSW), 0.15 in., 0.43 in., 0.00 in. on day 09 at time 23:59, 40.8°F on day 09 at time 13:56, 27.4°F on day 09 at time 03:39, 57% on day 09 at time 03:42, 36% on day 09 at time 12:15, 29.974 in. on day 09 at time 05:51, 29.711 in. on day 09 at time 21:04, 32.2 mph on day 09 at time 10:55, 43.7 mph  from 225 °( SW) on day 09 at time 18:30, 40.8°F on day 09 at time 13:56
9,Jan 10 ,38.1,60.0,25.3,29.6,13.6,19.7, 260° ( W ), 0.15 in., 0.43 in., 0.00 in. on day 10 at time 23:59, 42.9°F on day 10 at time 10:43, 34.3°F on day 10 at time 23:59, 81% on day 10 at time 15:28, 46% on day 10 at time 20:09, 29.730 in. on day 10 at time 00:01, 29.505 in. on day 10 at time 19:45, 25.3 mph on day 10 at time 10:03, 39.1 mph  from 281 °( W ) on day 10 at time 10:03, 42.9°F on day 10 at time 10:43
